latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
29.39211,82.23738,335.79,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,300.89,4.84,D
29.39239,82.24072,339.18,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,294.99,4.84,D
29.44671,78.2987,352.67,0.4,0.44,2026-01-13,820,N,VIIRS,n,2.0NRT,290.48,6.56,D
29.51011,79.55455,326.03,0.47,0.48,2026-01-13,820,N,VIIRS,n,2.0NRT,294.49,5.07,D
29.5375,79.69666,335.44,0.48,0.48,2026-01-13,820,N,VIIRS,n,2.0NRT,299.6,6.62,D
29.54182,79.69482,341.71,0.48,0.48,2026-01-13,820,N,VIIRS,n,2.0NRT,302.26,22.97,D
29.54222,79.69894,367,0.48,0.48,2026-01-13,820,N,VIIRS,h,2.0NRT,301.16,30.27,D
29.55181,77.25162,328.13,0.53,0.42,2026-01-13,820,N,VIIRS,n,2.0NRT,287.89,3.12,D
29.55377,77.25462,338.74,0.53,0.42,2026-01-13,820,N,VIIRS,n,2.0NRT,288.17,6.64,D
29.55566,77.25104,326.65,0.53,0.42,2026-01-13,820,N,VIIRS,n,2.0NRT,285.9,3.74,D
29.58319,79.48341,341.26,0.47,0.47,2026-01-13,820,N,VIIRS,n,2.0NRT,297.86,5.14,D
29.58321,79.48526,338.86,0.47,0.47,2026-01-13,820,N,VIIRS,n,2.0NRT,295.83,3.74,D
29.61722,82.21451,351.71,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,296.56,5.82,D
29.61737,82.21625,333.02,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,295.32,5.82,D
29.6184,82.21399,355.9,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,296.69,5.53,D
29.61855,82.21581,340.04,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,294.56,5.53,D
29.71004,81.78073,367,0.32,0.55,2026-01-13,820,N,VIIRS,h,2.0NRT,293.99,7.87,D
29.71023,81.78305,333.46,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,286.85,7.35,D
29.71497,81.77869,334.75,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,293.39,7.87,D
29.71519,81.78138,367,0.32,0.55,2026-01-13,820,N,VIIRS,h,2.0NRT,297.91,7.35,D
29.71544,81.78442,344.78,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,292.26,7.35,D
29.79533,81.71415,347.22,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,288.35,6.22,D
29.79614,81.7141,357.73,0.32,0.55,2026-01-13,820,N,VIIRS,l,2.0NRT,289.52,6.74,D
29.79632,81.71633,338.92,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,284,6.74,D
29.80057,81.71605,356,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,285.76,7.64,D
29.86889,80.35157,326.67,0.53,0.5,2026-01-13,820,N,VIIRS,n,2.0NRT,287.96,3.22,D
30.04187,81.77156,352.93,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,295.39,5.8,D
30.04681,81.76941,350.69,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,290.21,4.87,D
28.53996,83.68754,299.44,0.5,0.49,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.16,1.63,N
28.66424,82.3918,314.95,0.42,0.45,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.41,1.29,N
28.66784,82.39529,308.76,0.42,0.45,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.78,1.29,N
28.6686,82.39165,311.93,0.42,0.45,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.37,1.29,N
28.73122,82.93391,297.34,0.45,0.47,2026-01-13,2044,N,VIIRS,n,2.0NRT,268.2,0.7,N
28.73451,82.93197,305.95,0.45,0.47,2026-01-13,2044,N,VIIRS,n,2.0NRT,269.57,1.55,N
28.73566,82.93394,299.4,0.45,0.47,2026-01-13,2044,N,VIIRS,n,2.0NRT,267.91,0.7,N
28.73809,82.93613,298.89,0.45,0.47,2026-01-13,2044,N,VIIRS,n,2.0NRT,265.74,1.55,N
28.82828,77.15235,299.78,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.01,0.55,N
28.83755,77.13788,296.38,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.69,0.72,N
29.21562,81.71852,298.88,0.57,0.43,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.38,1.05,N
29.35471,79.7588,304.72,0.46,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,281.17,1.17,N
29.38724,81.90118,297.52,0.38,0.44,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.48,0.54,N
29.40297,79.56928,297.09,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.6,0.94,N
29.40348,79.57182,322.39,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.24,2.74,N
29.40654,79.56992,326.05,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,281.39,3.61,N
29.46573,79.52778,298.22,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.56,1.33,N
29.57397,79.49119,301.45,0.44,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.06,0.91,N
29.5748,79.4866,311.21,0.44,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.89,1.14,N
29.57838,79.48708,295.18,0.44,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.15,1.14,N
29.62082,82.20881,334.51,0.4,0.44,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.08,4.14,N
29.6246,79.67126,310.62,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.97,1.72,N
29.62503,79.27012,306.27,0.44,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.16,0.81,N
29.68853,79.72474,312.73,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,280.04,1.96,N
29.68932,79.72038,304.71,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.03,1.31,N
29.69048,79.73422,313.71,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,281.45,1.69,N
29.69127,79.72989,315.43,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,280.21,2.48,N
29.71115,81.7793,297.68,0.56,0.43,2026-01-13,2044,N,VIIRS,n,2.0NRT,273.74,0.79,N
29.7223,79.47813,295.43,0.44,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.16,0.52,N
29.72631,81.41847,302.33,0.54,0.42,2026-01-13,2044,N,VIIRS,n,2.0NRT,273.53,1.08,N
29.75104,79.15746,299.79,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,280.88,0.99,N
29.77651,82.27267,328.01,0.4,0.44,2026-01-13,2044,N,VIIRS,n,2.0NRT,271.43,5.34,N
29.79147,81.7403,308.11,0.56,0.43,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.05,2.48,N
29.81259,80.65424,301.47,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.27,1.2,N
29.81595,80.45574,309.62,0.48,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.6,1.49,N
29.82005,79.0991,295.68,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.74,0.42,N
29.8209,80.01038,307.35,0.46,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,280.81,1.34,N
29.8258,82.09312,300.86,0.39,0.44,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.19,1.14,N
29.82693,82.08758,301.72,0.39,0.44,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.41,1.69,N
29.84196,79.63704,300,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.23,0.48,N
29.88418,79.28379,304.35,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.88,0.91,N
29.9806,79.65501,300.89,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.69,0.99,N
29.98915,79.5284,300.17,0.44,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.2,0.69,N
29.99133,79.8983,295.58,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.31,0.46,N
30.00344,80.7396,299.49,0.49,0.41,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.07,1.28,N
30.00537,80.72953,300.18,0.49,0.41,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.68,1.6,N
30.00733,80.73943,302.51,0.49,0.41,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.67,1.28,N
30.00929,80.72917,317.37,0.49,0.41,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.2,1.6,N
30.01969,79.03469,296.4,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.28,0.5,N
30.02761,78.94945,324.31,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,281.08,2.85,N
30.04018,80.70822,299.21,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.24,0.65,N
30.04158,81.76752,301.31,0.55,0.43,2026-01-13,2044,N,VIIRS,n,2.0NRT,272.9,1.56,N
30.04591,80.21801,299.24,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.58,1.19,N
30.04601,80.21616,301.73,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.38,1.1,N
30.04683,80.21318,301.5,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.8,1.99,N
30.04693,80.21114,300.46,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.94,1.1,N
30.05058,80.21326,304.59,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.09,1.45,N
30.05067,80.21114,310.04,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.89,1.1,N
30.05612,79.77938,305.32,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.83,1.14,N
30.06329,79.78044,296.22,0.45,0.39,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.61,1.22,N
30.08248,80.59924,297.92,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.35,0.97,N
30.0831,80.60236,295.2,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.35,2.16,N
30.0841,80.597,296.83,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.68,0.75,N
30.08541,80.60387,324.55,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,273.67,4.31,N
30.08701,80.60176,328.47,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,273.7,2.16,N
30.10032,80.58618,297.11,0.48,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,262.12,0.84,N
30.11048,78.83456,297.81,0.42,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.79,0.97,N
30.11296,78.96102,300.12,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.85,0.85,N
30.11552,80.60616,310.58,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.1,1.94,N
30.1189,80.60842,301.69,0.49,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.77,1.94,N
30.19235,80.26088,309.04,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.8,1.35,N
30.19307,80.29704,310.42,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.55,1.39,N
30.20744,80.28043,310.21,0.47,0.4,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.73,1.3,N
30.25939,79.10295,304.79,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.57,1.1,N
30.26349,79.10002,321.43,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,280.71,3.2,N
30.3257,79.36056,302.63,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.79,1.01,N
30.38076,79.41561,297.36,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.09,0.37,N
30.38662,78.66493,306.92,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.33,1.44,N
30.41972,78.65691,296.79,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.4,0.59,N
30.4695,78.30672,297.83,0.4,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.24,0.51,N
30.47023,78.30245,295.29,0.4,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.23,0.67,N
30.47262,79.38973,298.29,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.85,0.79,N
30.51152,79.4139,305.55,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.48,0.98,N
30.5123,79.40958,303.63,0.43,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.33,0.84,N
30.51366,78.8453,302.71,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.07,0.91,N
30.55105,79.17128,315.63,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.24,1.86,N
30.60661,77.67054,296.65,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.87,0.8,N
30.61025,79.11192,295.48,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.64,0.89,N
30.61093,79.10805,299.97,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.24,0.89,N
30.61277,79.58166,299.26,0.44,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.15,0.48,N
30.61434,79.10895,306.05,0.42,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,279.61,0.89,N
30.62329,79.58356,296.34,0.44,0.38,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.84,0.8,N
30.62371,78.55433,302.64,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.76,1.02,N
30.72693,77.99062,304.34,0.39,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.39,0.85,N
30.72761,77.98659,304.59,0.39,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.01,0.85,N
30.75457,78.30682,309.92,0.4,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.57,0.99,N
30.76181,77.72055,326.09,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.82,2.7,N
30.77446,78.55643,306.98,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.79,1.46,N
30.80498,77.7087,302.63,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.86,0.65,N
30.8643,77.28465,308.14,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.55,1.01,N
30.89916,78.65054,326.93,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.5,18.74,N
30.89998,78.6459,344.59,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,291.99,18.74,N
30.90259,78.65098,327.18,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.98,3.89,N
30.9034,78.64639,324.79,0.41,0.37,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.35,3.89,N
30.91083,77.76881,298.54,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.53,0.7,N
31.02626,77.80488,304.03,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.43,0.98,N
31.14747,77.70858,304.23,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.67,0.92,N
31.16226,77.52114,328.74,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.87,2.15,N
31.16291,77.51721,308.75,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.69,2.15,N
31.16556,77.5219,319.51,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.6,2.15,N
31.16885,77.52265,306.98,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.1,1.04,N
31.23999,77.72935,296.24,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,272.69,0.43,N
31.24331,77.72995,324.96,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.03,1.57,N
31.26911,77.79762,322.6,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,273.84,2.54,N
31.28363,77.16827,295.64,0.38,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,276.74,1.26,N
31.28428,77.16426,319.15,0.38,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,274.43,1.7,N
31.28758,77.1649,302.78,0.38,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,273.59,0.64,N
31.2936,78.02129,299.01,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,271.05,1.03,N
31.45748,77.6879,307.8,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.08,1.16,N
31.46077,77.68871,302.79,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,275.92,0.88,N
31.46141,77.68485,309.29,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.5,1.38,N
31.47062,77.41924,306.11,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.83,1.19,N
31.47391,77.42001,308.42,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,278.22,1.19,N
31.4931,77.46989,315.47,0.39,0.36,2026-01-13,2044,N,VIIRS,n,2.0NRT,277.83,1.84,N
